ZIP5,ZIP3,Eligible Delivery Points,RU,HH,Email,Area,District
01538,015,448,10,9,9,ATLANTIC,MA-RI
01540,015,4557,1653,1214,1369,ATLANTIC,MA-RI
01541,015,1561,530,405,430,ATLANTIC,MA-RI
01542,015,1060,330,244,286,ATLANTIC,MA-RI
01543,015,3901,1448,1056,1235,ATLANTIC,MA-RI
01545,015,14245,7939,5506,6638,ATLANTIC,MA-RI
01550,015,7517,2461,1777,2146,ATLANTIC,MA-RI
01560,015,2036,878,625,739,ATLANTIC,MA-RI
01561,015,878,15,14,15,ATLANTIC,MA-RI
01562,015,5278,1686,1255,1459,ATLANTIC,MA-RI
01564,015,3447,1363,992,1115,ATLANTIC,MA-RI
01566,015,3119,1214,904,1015,ATLANTIC,MA-RI
01568,015,3528,1589,1152,1314,ATLANTIC,MA-RI
01569,015,5618,2359,1700,2004,ATLANTIC,MA-RI
01570,015,8054,2646,1941,2290,ATLANTIC,MA-RI
01571,015,4561,1701,1234,1438,ATLANTIC,MA-RI
01581,015,8120,4923,3405,4126,ATLANTIC,MA-RI
01583,015,3242,1297,951,1072,ATLANTIC,MA-RI
01585,015,2366,671,485,566,ATLANTIC,MA-RI
01588,015,4238,1742,1248,1483,ATLANTIC,MA-RI
01590,015,3611,1529,1095,1254,ATLANTIC,MA-RI
01602,016,8909,3426,2461,2855,ATLANTIC,MA-RI
01603,016,7363,2566,1808,2252,ATLANTIC,MA-RI
01604,016,14386,5848,4091,5109,ATLANTIC,MA-RI
01605,016,10326,4286,3013,3742,ATLANTIC,MA-RI
01606,016,8292,3378,2400,2866,ATLANTIC,MA-RI
01607,016,3666,1303,934,1164,ATLANTIC,MA-RI
01608,016,2181,1017,759,910,ATLANTIC,MA-RI
01609,016,7207,2782,2033,2342,ATLANTIC,MA-RI
01610,016,7306,2546,1825,2284,ATLANTIC,MA-RI
01611,016,853,330,229,290,ATLANTIC,MA-RI
01612,016,1703,719,513,575,ATLANTIC,MA-RI
01613,016,1498,194,166,188,ATLANTIC,MA-RI
01701,017,12991,7215,5071,5873,ATLANTIC,MA-RI
01702,017,14273,6340,4390,5349,ATLANTIC,MA-RI
01703,017,577,13,10,13,ATLANTIC,MA-RI
01704,017,596,15,15,14,ATLANTIC,MA-RI
01705,017,522,24,21,22,ATLANTIC,MA-RI
01718,017,277,181,116,150,ATLANTIC,MA-RI
01719,017,2305,1372,990,1094,ATLANTIC,MA-RI
01720,017,8694,5351,3772,4243,ATLANTIC,MA-RI
01721,017,7450,4501,3105,3800,ATLANTIC,MA-RI
01730,017,5584,3216,2245,2620,ATLANTIC,MA-RI
01731,017,579,537,378,478,ATLANTIC,MA-RI
01740,017,2260,1237,862,991,ATLANTIC,MA-RI
01741,017,2156,1084,772,828,ATLANTIC,MA-RI
01742,017,6925,3994,2864,2996,ATLANTIC,MA-RI
01745,017,398,78,59,64,ATLANTIC,MA-RI
01746,017,5321,2918,2096,2330,ATLANTIC,MA-RI
01747,017,2270,963,719,818,ATLANTIC,MA-RI
01748,017,6769,4660,3216,3885,ATLANTIC,MA-RI
01749,017,7996,3510,2555,2932,ATLANTIC,MA-RI
01752,017,16307,7940,5520,6636,ATLANTIC,MA-RI
01754,017,4869,2027,1469,1614,ATLANTIC,MA-RI
01756,017,2319,984,727,810,ATLANTIC,MA-RI
01757,017,11223,4527,3252,3843,ATLANTIC,MA-RI
01760,017,14239,7731,5452,6219,ATLANTIC,MA-RI
01770,017,1842,972,705,773,ATLANTIC,MA-RI
01772,017,3459,2148,1446,1750,ATLANTIC,MA-RI
01773,017,2689,1258,898,936,ATLANTIC,MA-RI
01775,017,2989,1510,1078,1169,ATLANTIC,MA-RI
01776,017,7146,4464,3117,3522,ATLANTIC,MA-RI
01778,017,5807,3228,2294,2479,ATLANTIC,MA-RI
01784,017,102,9,8,8,ATLANTIC,MA-RI
01801,018,15042,8350,5769,7072,ATLANTIC,MA-RI
01803,018,9897,5740,3931,4830,ATLANTIC,MA-RI
01810,018,14081,7304,5242,5869,ATLANTIC,MA-RI
01821,018,11173,5796,4045,4794,ATLANTIC,MA-RI
01824,018,10185,5453,3849,4490,ATLANTIC,MA-RI
01826,018,12140,5544,3933,4636,ATLANTIC,MA-RI
01827,018,1429,643,456,546,ATLANTIC,MA-RI
01830,018,10214,4238,3006,3600,ATLANTIC,MA-RI
01831,018,1165,60,52,57,ATLANTIC,MA-RI
01832,018,9581,4221,2975,3610,ATLANTIC,MA-RI
01833,018,3188,1320,977,1074,ATLANTIC,MA-RI
01834,018,2536,1028,788,844,ATLANTIC,MA-RI
01835,018,5975,2626,1869,2220,ATLANTIC,MA-RI
01840,018,3428,1197,847,1119,ATLANTIC,MA-RI
01841,018,14204,4718,3197,4239,ATLANTIC,MA-RI
01842,018,1233,121,92,117,ATLANTIC,MA-RI
01843,018,8581,4038,2704,3567,ATLANTIC,MA-RI
01844,018,18664,9432,6519,8082,ATLANTIC,MA-RI
01845,018,11438,6167,4397,5087,ATLANTIC,MA-RI
01850,018,5736,2329,1554,2039,ATLANTIC,MA-RI
01851,018,10291,4931,3304,4248,ATLANTIC,MA-RI
01852,018,13765,5934,4138,5129,ATLANTIC,MA-RI
01853,018,2507,218,176,207,ATLANTIC,MA-RI
